name,species,light,water,humidity,notes
Plant 0,Species 0,Bright,Weekly,Medium,Note 0
Plant 1,Species 1,Bright,Weekly,Medium,Note 1
Plant 2,Species 2,Bright,Weekly,Medium,Note 2
Plant 3,Species 3,Bright,Weekly,Medium,Note 3
Plant 4,Species 4,Bright,Weekly,Medium,Note 4
Plant 5,Species 5,Bright,Weekly,Medium,Note 5
Plant 6,Species 6,Bright,Weekly,Medium,Note 6
Plant 7,Species 7,Bright,Weekly,Medium,Note 7
Plant 8,Species 8,Bright,Weekly,Medium,Note 8
Plant 9,Species 9,Bright,Weekly,Medium,Note 9
Plant 10,Species 10,Bright,Weekly,Medium,Note 10
Plant 11,Species 11,Bright,Weekly,Medium,Note 11
Plant 12,Species 12,Bright,Weekly,Medium,Note 12
Plant 13,Species 13,Bright,Weekly,Medium,Note 13
Plant 14,Species 14,Bright,Weekly,Medium,Note 14
Plant 15,Species 15,Bright,Weekly,Medium,Note 15
Plant 16,Species 16,Bright,Weekly,Medium,Note 16
Plant 17,Species 17,Bright,Weekly,Medium,Note 17
Plant 18,Species 18,Bright,Weekly,Medium,Note 18
Plant 19,Species 19,Bright,Weekly,Medium,Note 19
Plant 20,Species 20,Bright,Weekly,Medium,Note 20
Plant 21,Species 21,Bright,Weekly,Medium,Note 21
Plant 22,Species 22,Bright,Weekly,Medium,Note 22
Plant 23,Species 23,Bright,Weekly,Medium,Note 23
Plant 24,Species 24,Bright,Weekly,Medium,Note 24
Plant 25,Species 25,Bright,Weekly,Medium,Note 25
Plant 26,Species 26,Bright,Weekly,Medium,Note 26
Plant 27,Species 27,Bright,Weekly,Medium,Note 27
Plant 28,Species 28,Bright,Weekly,Medium,Note 28
Plant 29,Species 29,Bright,Weekly,Medium,Note 29
Plant 30,Species 30,Bright,Weekly,Medium,Note 30
Plant 31,Species 31,Bright,Weekly,Medium,Note 31
Plant 32,Species 32,Bright,Weekly,Medium,Note 32
Plant 33,Species 33,Bright,Weekly,Medium,Note 33
Plant 34,Species 34,Bright,Weekly,Medium,Note 34
Plant 35,Species 35,Bright,Weekly,Medium,Note 35
Plant 36,Species 36,Bright,Weekly,Medium,Note 36
Plant 37,Species 37,Bright,Weekly,Medium,Note 37
Plant 38,Species 38,Bright,Weekly,Medium,Note 38
Plant 39,Species 39,Bright,Weekly,Medium,Note 39
Plant 40,Species 40,Bright,Weekly,Medium,Note 40
Plant 41,Species 41,Bright,Weekly,Medium,Note 41
Plant 42,Species 42,Bright,Weekly,Medium,Note 42
Plant 43,Species 43,Bright,Weekly,Medium,Note 43
Plant 44,Species 44,Bright,Weekly,Medium,Note 44
Plant 45,Species 45,Bright,Weekly,Medium,Note 45
Plant 46,Species 46,Bright,Weekly,Medium,Note 46
Plant 47,Species 47,Bright,Weekly,Medium,Note 47
Plant 48,Species 48,Bright,Weekly,Medium,Note 48
Plant 49,Species 49,Bright,Weekly,Medium,Note 49
Plant 50,Species 50,Bright,Weekly,Medium,Note 50
Plant 51,Species 51,Bright,Weekly,Medium,Note 51
Plant 52,Species 52,Bright,Weekly,Medium,Note 52
Plant 53,Species 53,Bright,Weekly,Medium,Note 53
Plant 54,Species 54,Bright,Weekly,Medium,Note 54
Plant 55,Species 55,Bright,Weekly,Medium,Note 55
Plant 56,Species 56,Bright,Weekly,Medium,Note 56
Plant 57,Species 57,Bright,Weekly,Medium,Note 57
Plant 58,Species 58,Bright,Weekly,Medium,Note 58
Plant 59,Species 59,Bright,Weekly,Medium,Note 59
Plant 60,Species 60,Bright,Weekly,Medium,Note 60
Plant 61,Species 61,Bright,Weekly,Medium,Note 61
Plant 62,Species 62,Bright,Weekly,Medium,Note 62
Plant 63,Species 63,Bright,Weekly,Medium,Note 63
Plant 64,Species 64,Bright,Weekly,Medium,Note 64
Plant 65,Species 65,Bright,Weekly,Medium,Note 65
Plant 66,Species 66,Bright,Weekly,Medium,Note 66
Plant 67,Species 67,Bright,Weekly,Medium,Note 67
Plant 68,Species 68,Bright,Weekly,Medium,Note 68
Plant 69,Species 69,Bright,Weekly,Medium,Note 69
Plant 70,Species 70,Bright,Weekly,Medium,Note 70
Plant 71,Species 71,Bright,Weekly,Medium,Note 71
Plant 72,Species 72,Bright,Weekly,Medium,Note 72
Plant 73,Species 73,Bright,Weekly,Medium,Note 73
Plant 74,Species 74,Bright,Weekly,Medium,Note 74
Plant 75,Species 75,Bright,Weekly,Medium,Note 75
Plant 76,Species 76,Bright,Weekly,Medium,Note 76
Plant 77,Species 77,Bright,Weekly,Medium,Note 77
Plant 78,Species 78,Bright,Weekly,Medium,Note 78
Plant 79,Species 79,Bright,Weekly,Medium,Note 79
Plant 80,Species 80,Bright,Weekly,Medium,Note 80
Plant 81,Species 81,Bright,Weekly,Medium,Note 81
Plant 82,Species 82,Bright,Weekly,Medium,Note 82
Plant 83,Species 83,Bright,Weekly,Medium,Note 83
Plant 84,Species 84,Bright,Weekly,Medium,Note 84
Plant 85,Species 85,Bright,Weekly,Medium,Note 85
Plant 86,Species 86,Bright,Weekly,Medium,Note 86
Plant 87,Species 87,Bright,Weekly,Medium,Note 87
Plant 88,Species 88,Bright,Weekly,Medium,Note 88
Plant 89,Species 89,Bright,Weekly,Medium,Note 89
Plant 90,Species 90,Bright,Weekly,Medium,Note 90
Plant 91,Species 91,Bright,Weekly,Medium,Note 91
Plant 92,Species 92,Bright,Weekly,Medium,Note 92
Plant 93,Species 93,Bright,Weekly,Medium,Note 93
Plant 94,Species 94,Bright,Weekly,Medium,Note 94
Plant 95,Species 95,Bright,Weekly,Medium,Note 95
Plant 96,Species 96,Bright,Weekly,Medium,Note 96
Plant 97,Species 97,Bright,Weekly,Medium,Note 97
Plant 98,Species 98,Bright,Weekly,Medium,Note 98
Plant 99,Species 99,Bright,Weekly,Medium,Note 99
Plant 100,Species 100,Bright,Weekly,Medium,Note 100
Plant 101,Species 101,Bright,Weekly,Medium,Note 101
Plant 102,Species 102,Bright,Weekly,Medium,Note 102
Plant 103,Species 103,Bright,Weekly,Medium,Note 103
Plant 104,Species 104,Bright,Weekly,Medium,Note 104
Plant 105,Species 105,Bright,Weekly,Medium,Note 105
Plant 106,Species 106,Bright,Weekly,Medium,Note 106
Plant 107,Species 107,Bright,Weekly,Medium,Note 107
Plant 108,Species 108,Bright,Weekly,Medium,Note 108
Plant 109,Species 109,Bright,Weekly,Medium,Note 109
Plant 110,Species 110,Bright,Weekly,Medium,Note 110
Plant 111,Species 111,Bright,Weekly,Medium,Note 111
Plant 112,Species 112,Bright,Weekly,Medium,Note 112
Plant 113,Species 113,Bright,Weekly,Medium,Note 113
Plant 114,Species 114,Bright,Weekly,Medium,Note 114
Plant 115,Species 115,Bright,Weekly,Medium,Note 115
Plant 116,Species 116,Bright,Weekly,Medium,Note 116
Plant 117,Species 117,Bright,Weekly,Medium,Note 117
Plant 118,Species 118,Bright,Weekly,Medium,Note 118
Plant 119,Species 119,Bright,Weekly,Medium,Note 119
Plant 120,Species 120,Bright,Weekly,Medium,Note 120
Plant 121,Species 121,Bright,Weekly,Medium,Note 121
Plant 122,Species 122,Bright,Weekly,Medium,Note 122
Plant 123,Species 123,Bright,Weekly,Medium,Note 123
Plant 124,Species 124,Bright,Weekly,Medium,Note 124
Plant 125,Species 125,Bright,Weekly,Medium,Note 125
Plant 126,Species 126,Bright,Weekly,Medium,Note 126
Plant 127,Species 127,Bright,Weekly,Medium,Note 127
Plant 128,Species 128,Bright,Weekly,Medium,Note 128
Plant 129,Species 129,Bright,Weekly,Medium,Note 129
Plant 130,Species 130,Bright,Weekly,Medium,Note 130
Plant 131,Species 131,Bright,Weekly,Medium,Note 131
Plant 132,Species 132,Bright,Weekly,Medium,Note 132
Plant 133,Species 133,Bright,Weekly,Medium,Note 133
Plant 134,Species 134,Bright,Weekly,Medium,Note 134
Plant 135,Species 135,Bright,Weekly,Medium,Note 135
Plant 136,Species 136,Bright,Weekly,Medium,Note 136
Plant 137,Species 137,Bright,Weekly,Medium,Note 137
Plant 138,Species 138,Bright,Weekly,Medium,Note 138
Plant 139,Species 139,Bright,Weekly,Medium,Note 139
Plant 140,Species 140,Bright,Weekly,Medium,Note 140
Plant 141,Species 141,Bright,Weekly,Medium,Note 141
Plant 142,Species 142,Bright,Weekly,Medium,Note 142
Plant 143,Species 143,Bright,Weekly,Medium,Note 143
Plant 144,Species 144,Bright,Weekly,Medium,Note 144
Plant 145,Species 145,Bright,Weekly,Medium,Note 145
Plant 146,Species 146,Bright,Weekly,Medium,Note 146
Plant 147,Species 147,Bright,Weekly,Medium,Note 147
Plant 148,Species 148,Bright,Weekly,Medium,Note 148
Plant 149,Species 149,Bright,Weekly,Medium,Note 149
Plant 150,Species 150,Bright,Weekly,Medium,Note 150
Plant 151,Species 151,Bright,Weekly,Medium,Note 151
Plant 152,Species 152,Bright,Weekly,Medium,Note 152
Plant 153,Species 153,Bright,Weekly,Medium,Note 153
Plant 154,Species 154,Bright,Weekly,Medium,Note 154
Plant 155,Species 155,Bright,Weekly,Medium,Note 155
Plant 156,Species 156,Bright,Weekly,Medium,Note 156
Plant 157,Species 157,Bright,Weekly,Medium,Note 157
Plant 158,Species 158,Bright,Weekly,Medium,Note 158
Plant 159,Species 159,Bright,Weekly,Medium,Note 159
Plant 160,Species 160,Bright,Weekly,Medium,Note 160
Plant 161,Species 161,Bright,Weekly,Medium,Note 161
Plant 162,Species 162,Bright,Weekly,Medium,Note 162
Plant 163,Species 163,Bright,Weekly,Medium,Note 163
Plant 164,Species 164,Bright,Weekly,Medium,Note 164
Plant 165,Species 165,Bright,Weekly,Medium,Note 165
Plant 166,Species 166,Bright,Weekly,Medium,Note 166
Plant 167,Species 167,Bright,Weekly,Medium,Note 167
Plant 168,Species 168,Bright,Weekly,Medium,Note 168
Plant 169,Species 169,Bright,Weekly,Medium,Note 169
Plant 170,Species 170,Bright,Weekly,Medium,Note 170
Plant 171,Species 171,Bright,Weekly,Medium,Note 171
Plant 172,Species 172,Bright,Weekly,Medium,Note 172
Plant 173,Species 173,Bright,Weekly,Medium,Note 173
Plant 174,Species 174,Bright,Weekly,Medium,Note 174
Plant 175,Species 175,Bright,Weekly,Medium,Note 175
Plant 176,Species 176,Bright,Weekly,Medium,Note 176
Plant 177,Species 177,Bright,Weekly,Medium,Note 177
Plant 178,Species 178,Bright,Weekly,Medium,Note 178
Plant 179,Species 179,Bright,Weekly,Medium,Note 179
Plant 180,Species 180,Bright,Weekly,Medium,Note 180
Plant 181,Species 181,Bright,Weekly,Medium,Note 181
Plant 182,Species 182,Bright,Weekly,Medium,Note 182
Plant 183,Species 183,Bright,Weekly,Medium,Note 183
Plant 184,Species 184,Bright,Weekly,Medium,Note 184
Plant 185,Species 185,Bright,Weekly,Medium,Note 185
Plant 186,Species 186,Bright,Weekly,Medium,Note 186
Plant 187,Species 187,Bright,Weekly,Medium,Note 187
Plant 188,Species 188,Bright,Weekly,Medium,Note 188
Plant 189,Species 189,Bright,Weekly,Medium,Note 189
Plant 190,Species 190,Bright,Weekly,Medium,Note 190
Plant 191,Species 191,Bright,Weekly,Medium,Note 191
Plant 192,Species 192,Bright,Weekly,Medium,Note 192
Plant 193,Species 193,Bright,Weekly,Medium,Note 193
Plant 194,Species 194,Bright,Weekly,Medium,Note 194
Plant 195,Species 195,Bright,Weekly,Medium,Note 195
Plant 196,Species 196,Bright,Weekly,Medium,Note 196
Plant 197,Species 197,Bright,Weekly,Medium,Note 197
Plant 198,Species 198,Bright,Weekly,Medium,Note 198
Plant 199,Species 199,Bright,Weekly,Medium,Note 199
